ОТЧЁТ ПО АРТИКУЛАМ
========================================================================================================================

Артикул                     Продаж  Возвр   Реализация   К перечисл    Логистика        Итого
------------------------------------------------------------------------------------------------------------------------
2011090018                      21      0    39,757.00    32,988.03     7,965.45    25,022.58
2012090018                      18      0    32,982.00    25,732.22     6,608.05    19,124.17
2014090018                      12      1    25,092.00    20,397.29     5,027.27    15,370.02
2011070140                      13      0    24,138.00    20,147.68     4,836.13    15,311.55
2023090018                      11      1    21,117.52    16,920.07     4,230.97    12,689.10
2005090018                       6      1    18,759.00    16,106.33     3,758.43    12,347.90
2082090018-1                     7      0    19,289.00    16,188.68     3,864.62    12,324.06
2016090018                      14      0    19,081.00    15,656.70     3,822.94    11,833.76
2004090018                      11      0    19,001.00    15,270.57     3,806.91    11,463.66
2012070140                       8      1    17,435.00    14,690.58     3,493.16    11,197.42
2082090018                       5      1    17,668.00    14,450.96     3,539.84    10,911.12
2001090018                      10      0    16,474.00    13,937.24     3,300.62    10,636.62
2013080352                       9      0    16,803.00    13,624.86     3,366.54    10,258.32
2001050008                       8      1    14,841.00    12,451.67     2,973.44     9,478.23
2013080131                       7      1    15,338.00    12,439.17     3,073.02     9,366.15
2002050008                       8      0    15,382.00    12,271.95     3,081.83     9,190.12
2013070140-1                     8      0    13,925.00    11,816.07     2,789.92     9,026.15
2013070014-3                    11      0    13,450.00    11,228.97     2,694.75     8,534.22
2002070140-1                     7      0    12,689.00    10,331.09     2,542.28     7,788.81
2004040647                       6      1    13,024.00    10,258.07     2,609.40     7,648.67
2071090018                       4      0    11,997.00     9,837.52     2,403.64     7,433.88
2013050008                       6      1    12,265.00     9,709.19     2,457.33     7,251.86
2011070014                       6      0    11,423.00     9,329.50     2,288.64     7,040.86
2012060320                       6      0    10,948.00     8,510.02     2,193.47     6,316.55
2004000011                       6      0     9,925.00     8,289.11     1,988.51     6,300.60
2090090018-4                     5      0     9,461.00     8,031.30     1,895.54     6,135.76
2045090018                       4      1     9,276.00     7,907.45     1,858.48     6,048.97
2011070517-1                     5      0     9,026.00     7,826.05     1,808.39     6,017.66
2011060863                       4      1     9,785.00     7,969.24     1,960.46     6,008.78
2011000001                       3      2     9,407.00     7,773.43     1,884.72     5,888.71
2004070140-1                     5      2     9,284.00     7,707.96     1,860.08     5,847.88
2011070014-1                     5      0     9,250.00     7,677.70     1,853.27     5,824.43
2013090018                       4      1     8,873.00     7,407.81     1,777.73     5,630.08
2013070517-3                     5      0     8,966.00     7,293.37     1,796.37     5,497.00
2005090018-1                     2      1     8,406.00     7,095.05     1,684.17     5,410.88
2090090018-5                     3      1     8,252.00     7,051.47     1,653.32     5,398.15
2001070140-1                     5      0     8,024.00     6,954.77     1,607.64     5,347.13
2010090018                       5      0     8,537.00     7,002.30     1,710.42     5,291.88
2004080131-3                     5      0     8,208.00     6,879.76     1,644.50     5,235.26
2002090018                       5      0     8,406.00     6,910.95     1,684.17     5,226.78
2004070140                       5      0     8,329.00     6,714.01     1,668.74     5,045.27
2092090018-11                    3      0     7,447.00     6,242.78     1,492.03     4,750.75
2013070517-1                     4      0     6,786.00     5,839.84     1,359.60     4,480.24
2004080164-1                     4      0     6,863.00     5,840.60     1,375.02     4,465.58
2012060861                       3      1     7,766.00     6,004.45     1,555.94     4,448.51
2004070014                       3      1     7,086.00     5,808.19     1,419.70     4,388.49
2009070517-1                     4      1     7,170.00     5,787.44     1,436.53     4,350.91
2004050008                       3      1     6,931.00     5,613.98     1,388.65     4,225.33
2001070140                       4      0     6,949.00     5,532.40     1,392.26     4,140.14
2004070714-2                     4      0     6,569.00     5,423.69     1,316.12     4,107.57
2005090018-9                     1      1     6,703.00     5,360.23     1,342.97     4,017.26
2074090018                       2      0     6,265.00     5,235.59     1,255.21     3,980.38
2017080132                       3      0     6,392.00     5,156.24     1,280.66     3,875.58
2017060863                       3      0     6,047.00     5,072.69     1,211.54     3,861.15
2005090018-8                     2      0     5,545.00     4,824.17     1,110.96     3,713.21
2082090018-2                     2      0     5,785.00     4,851.70     1,159.04     3,692.66
2004070222-3                     4      0     6,035.00     4,870.54     1,209.13     3,661.41
2090090018-6                     3      0     5,595.00     4,776.72     1,120.98     3,655.74
2075090018                       1      1     5,843.00     4,752.36     1,170.66     3,581.70
2011080352                       3      0     5,575.00     4,685.40     1,116.97     3,568.43
2012040540                       3      0     5,496.00     4,542.78     1,101.14     3,441.64
2010070517-1                     3      0     5,331.00     4,363.20     1,068.08     3,295.12
2013080164                       3      0     5,209.00     4,294.75     1,043.64     3,251.11
2023070517-2                     3      0     4,775.00     4,157.60       956.69     3,200.91
2014070222                       3      0     5,375.00     4,269.35     1,076.90     3,192.45
2004030004                       2      1     5,183.00     4,210.77     1,038.43     3,172.34
2009070140                       3      0     4,986.00     4,086.78       998.96     3,087.82
2092090018-4                     2      0     4,444.00     3,947.75       890.37     3,057.38
2003090018                       2      0     4,650.00     3,983.12       931.64     3,051.48
2092090018-9                     2      0     5,040.00     4,048.43     1,009.78     3,038.65
2089090018-11                    2      0     4,678.00     3,746.80       937.25     2,809.55
2012050220                       3      0     3,963.00     3,383.10       794.00     2,589.10
2016014890                       3      0     4,817.00     3,549.62       965.10     2,584.52
2016050008                       3      0     3,797.00     3,299.36       760.74     2,538.62
3001060864                       4      0     3,847.00     3,301.48       770.76     2,530.72
20241090018                      3      0     3,783.00     3,258.80       757.94     2,500.86
2014070714-2                     2      0     3,896.00     3,189.18       780.58     2,408.60
2090090018-3                     2      0     3,759.00     3,137.43       753.13     2,384.30
2089090018-13                    2      0     3,521.00     3,049.60       705.44     2,344.16
2001090018-11                    1      0     3,315.00     2,950.01       664.17     2,285.84
2014070517                       2      0     3,778.00     3,037.51       756.93     2,280.58
20130900018-01                   1      1     3,746.00     3,026.98       750.52     2,276.46
2014070517-4                     2      0     3,953.00     3,064.97       792.00     2,272.97
2004070714-4                     2      0     3,442.00     2,920.10       689.62     2,230.48
2010070014                       2      0     3,260.00     2,830.71       653.15     2,177.56
2023080132                       2      0     3,575.00     2,887.44       716.26     2,171.18
2010070714-5                     2      0     3,227.00     2,799.72       646.54     2,153.18
2045070140                       2      0     3,367.00     2,808.86       674.59     2,134.27
2004070517-2                     2      0     3,285.00     2,782.25       658.16     2,124.09
2002070048                       2      0     3,259.00     2,770.30       652.95     2,117.35
20101090018-5                    2      0     3,288.00     2,734.27       658.76     2,075.51
2001080132                       3      0     3,347.00     2,738.49       670.58     2,067.91
2023040628                       2      0     3,487.00     2,765.96       698.63     2,067.33
2009070014                       2      0     3,334.00     2,734.81       667.98     2,066.83
2005090018-3                     1      0     2,955.00     2,594.64       592.04     2,002.60
20241060321-10                   2      0     3,212.00     2,621.20       643.53     1,977.67
2090090018-1                     1      0         0.00     1,911.24         0.00     1,911.24
2004070222-1                     2      0     3,196.00     2,530.46       640.33     1,890.13
2083090018                       1      0     2,713.00     2,404.70       543.56     1,861.14
2081090018                       1      0     2,572.00     2,309.13       515.31     1,793.82
2005090018-6                     1      0     2,468.00     2,278.36       494.47     1,783.89
2073090018-2                     1      0     2,820.00     2,304.42       565.00     1,739.42
20241080131                      2      0     2,565.00     2,250.31       513.91     1,736.40
2090090018-2                     1      0     2,474.00     2,226.57       495.67     1,730.90
2005090018-4                     1      0     2,790.00     2,272.24       558.99     1,713.25
2089090018-1                     1      0     2,528.00     2,189.44       506.49     1,682.95
2089090018-12                    1      0     2,571.00     2,188.63       515.11     1,673.52
2089070014-10                    1      0     2,629.00     2,067.14       526.73     1,540.41
3035090018                       2      1     2,347.00     1,996.57       470.23     1,526.34
2089090018-5                     1      0     2,376.00     1,992.57       476.04     1,516.53
20241070048                      3      0     2,517.00     2,015.44       504.29     1,511.15
2089090018-4                     1      0     2,397.00     1,952.21       480.25     1,471.96
2089030475-9                     1      0     2,208.00     1,875.89       442.38     1,433.51
2003090018-5                     1      0     2,162.00     1,849.25       433.16     1,416.09
2013080131-1                     1      0     1,933.00     1,653.18       387.28     1,265.90
2012070014-1                     1      0     2,067.00     1,653.89       414.13     1,239.76
2002070140                       1      0     2,099.00     1,647.40       420.54     1,226.86
2011070517-3                     1      0     1,873.00     1,549.51       375.26     1,174.25
2002060864                       1      0     2,066.00     1,587.77       413.93     1,173.84
2013070014-1                     1      0     1,899.00     1,541.16       380.47     1,160.69
2023050558-10                    1      0     1,727.00     1,506.43       346.01     1,160.42
2011040540                       1      0     1,957.00     1,547.92       392.09     1,155.83
3008050161                       2      0     1,768.00     1,487.97       354.22     1,133.75
2017090018                       1      0     1,764.00     1,469.71       353.42     1,116.29
2014070517-3                     1      0     1,679.00     1,445.77       336.39     1,109.38
2009080131-1                     1      0     1,690.00     1,445.57       338.60     1,106.97
2002070014-1                     1      0     1,816.00     1,469.11       363.84     1,105.27
2014070140                       1      0     2,001.00     1,501.22       400.91     1,100.31
2013060166-4                     1      0     1,593.00     1,406.15       319.16     1,086.99
2010080131                       1      0     1,659.00     1,408.16       332.39     1,075.77
2001060864-1                     1      0     1,549.00     1,383.68       310.35     1,073.33
2009090018                       1      0     1,728.00     1,413.41       346.21     1,067.20
2004070714-1                     1      0     1,740.00     1,375.19       348.61     1,026.58
2004070517-1                     1      0     1,761.00     1,374.79       352.82     1,021.97
2004080131-2                     1      0     1,651.00     1,348.71       330.78     1,017.93
2023070517                       1      0     1,539.00     1,325.30       308.34     1,016.96
2023050008                       1      0     1,604.00     1,324.05       321.37     1,002.68
2045014890                       1      0     1,629.00     1,305.25       326.38       978.87
20241070714                      1      0     1,536.00     1,267.72       307.74       959.98
2045080164                       1      0     1,483.00     1,241.21       297.12       944.09
2045060864                       1      0     1,552.00     1,239.90       310.95       928.95
2011070714                       2      0     1,351.00     1,199.19       270.68       928.51
