SRID;Кол-во;Доход_от_продажи;Расход_логистика;Расход_хранение;Прочие_удержания;Компенсация;Баланс;Возврат
01617cafe12d473b8eebb5cedaf4a486.0.0;4;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
070dab686c554f299c2456e829d0f003;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
0774d4b23f9c46f58436b25e84fc61e1.0.0;3;2310.00;211.30;0.00;0.00;0.00;2098.70;НЕТ
0774d4b23f9c46f58436b25e84fc61e1.1.0;0;0.00;179.17;0.00;0.00;0.00;-179.17;НЕТ
1001564;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1001875;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10044674116287317.1.0;0;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1014027;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1014028;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1015839;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1015840;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1018744;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10217913617398092.2.0;1;1104.00;130.41;0.00;0.00;0.00;973.59;НЕТ
10256186616474800.0.0;1;1357.00;96.72;0.00;0.00;0.00;1260.28;НЕТ
1029910;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
103155927617192485.0.0;3;2150.00;160.45;0.00;0.00;0.00;1989.55;НЕТ
10325978117422399.0.0;0;0.00;224.75;0.00;0.00;0.00;-224.75;НЕТ
10325978117422399.1.0;0;0.00;224.75;0.00;0.00;0.00;-224.75;НЕТ
1038248;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10559855117318676.0.0;3;2420.00;117.75;0.00;0.00;0.00;2302.25;НЕТ
1059377;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1059382;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1059612;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1059614;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10626215116364588.3.0;0;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10683467616483411.0.0;0;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10683467616483411.1.0;0;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1069290;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1073694;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1073695;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1073696;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1073697;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1073698;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1073699;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1074653;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1074654;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1074655;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10802306617180175.0.0;3;2420.00;114.98;0.00;0.00;0.00;2305.02;НЕТ
10878780117018774.0.0;4;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10878780117018774.1.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10878780117018774.2.0;4;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10878780117263837.0.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10884132616927138.7.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10884132616928660.0.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1088587;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1088588;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1088589;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089003;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089004;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089005;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089006;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089007;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089008;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089009;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089010;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089011;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1089012;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1090069;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1090070;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1090071;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1090072;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924831;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924832;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924833;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924834;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924835;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924836;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924837;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924838;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924839;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924840;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10924841;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925720;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925721;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925722;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925723;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925724;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925725;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925726;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925727;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925728;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925729;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925730;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925732;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925733;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925734;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925747;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925748;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925749;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925750;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925751;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10925752;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10930200117306076.0.0;4;0.00;163.75;0.00;0.00;0.00;-163.75;НЕТ
10935423616707110.0.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10974554617368791.1.0;2;0.00;164.69;0.00;0.00;0.00;-164.69;НЕТ
10974554617368791.2.0;2;0.00;164.30;0.00;0.00;0.00;-164.30;НЕТ
1098411;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10a9fc2f11594f9196966bdb10f81216.0.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
10a9fc2f11594f9196966bdb10f81216.1.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
110030375617268549.0.0;3;2322.00;150.41;0.00;0.00;0.00;2171.59;НЕТ
110030375617268549.1.0;6;0.00;161.47;0.00;0.00;0.00;-161.47;НЕТ
11040286617151257.0.0;3;1288.00;109.44;0.00;0.00;0.00;1178.56;НЕТ
1104333;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1104334;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11066941616936814.0.0;2;5074.00;162.94;0.00;0.00;0.00;4911.06;НЕТ
11070161;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070162;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070163;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070164;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070165;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070166;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070167;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070168;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070169;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070170;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070171;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071048;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071049;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071050;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071054;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071056;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071057;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071058;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071059;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071060;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071061;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071062;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071730117022285.0.0;2;0.00;206.42;0.00;0.00;0.00;-206.42;НЕТ
11073697116756162.1.0;2;0.00;124.55;0.00;0.00;0.00;-124.55;НЕТ
