"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"'2004080164/S";"343313784";"693237683";"2000921092007";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070714/M";"343313785";"693237150";"2008429861071";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004090018/M";"343313786";"693236235";"2000712374169";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"30";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004080131/M";"343313787";"693247355";"2000921084019";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"2";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"4";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070222-10/S";"343313788";"693246492";"2017974583000";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070714-1/M";"343313789";"693243050";"2009297693016";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070140/S";"343313790";"697997673";"2000921197054";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"8";"1";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070200/M";"343313791";"693235492";"2001661746656";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"5";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070714-1/S";"343313792";"693236917";"2009297693009";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"2";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004050734/L";"343313793";"693236910";"2017642214021";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004080164/M";"343313794";"693237686";"2000921092014";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004090018/L";"343313795";"693236894";"2000712374176";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"20";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"1";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004050008/M";"343313796";"693236887";"2000921197016";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"12";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"18";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070714/L";"343313797";"693237120";"2008429861088";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070200/S";"343313798";"693236882";"2001661746663";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"3";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004050009/S";"343313799";"693245607";"2001207202028";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'0.00";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070714-1/L";"343313800";"693236924";"2009297693023";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"2";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070517/M";"343313801";"693237689";"2000921000026";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004050734/S";"343313802";"693236880";"2017642214007";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070140-2/M";"343313803";"693237473";"2014672066019";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070140-2/L";"343313804";"693235495";"2014672066026";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070140-2/S";"343313805";"693237140";"2014672066002";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070222/M";"343313806";"693237133";"2014672125013";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004090018/S";"343313807";"693258098";"2000712374152";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"11";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"1";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004050734/M";"343313808";"693236934";"2017642214014";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004040628/L";"343313809";"693247338";"2017974499028";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070222/L";"343313810";"693236877";"2014672125020";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070140/L";"343313811";"693237155";"2000921197030";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"2";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"11";"1";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004060861/S";"343313812";"693246499";"2001207202059";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070140/M";"343313813";"693235498";"2000921197047";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"2";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"23";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004050008/L";"343313814";"693236897";"2000921197009";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"4";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"8";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004080131/L";"343313815";"693251473";"2000921084026";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Продается";;"1";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"3";"1";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070202/S";"343313816";"693245618";"2017974757005";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004060861/L";"343313817";"693251086";"2001207202035";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070048-1/L";"343313818";"693247346";"2016977817020";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070202/M";"343313819";"693235497";"2017974757012";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004050009/M";"343313820";"697998978";"2001207202011";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004060671/M";"343313821";"693236873";"2001207202073";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004060671/S";"343313822";"693237116";"2001207202080";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070048-1/M";"343313823";"693257573";"2016977817013";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070048-1/S";"343313824";"693236891";"2016977817006";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070714/S";"343313825";"693237146";"2008429861064";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070222-10/L";"343313826";"697999428";"2017974583024";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004060861/M";"343313827";"693245631";"2001207202042";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
"'2004070202/L";"343313828";"693236928";"2017974757029";"Варежки женские ДУБЛЁНКИНО из натуральной овчины";"'10";"ДУБЛЁНКИНО";"Готов к продаже";;"0";"'4.90";"Показывается";;"2022-08-17 13:32:49";"Аксессуары";"Варежки";"'2.79";"'0.6";"0";"0";"0";"0";"0";"3100.00";"4300.00";;"0%";;
